Date,Description,Original Description,Category,Amount,Status
2022-08-28,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-257.22,Posted
2022-08-26,"Marriage and Family M","SQ *MARRIAGE AND FAMILY MWindsor      CO",Doctor,-200.00,Posted
2022-08-21,"Sittercity","SITTERCITY               888-748-2489 IL",Babysitter & Daycare,-39.00,Posted
2022-08-19,"Amazon","AMZN Mktp US*JE9CY0HG3   Amzn.com/billWA",Shopping,-15.35,Posted
2022-08-18,"Amazon","AMZN Mktp US*D80H420E3   Amzn.com/billWA",Shopping,-16.14,Posted
2022-08-18,"Amazon","AMZN Mktp US*V51038GI3   Amzn.com/billWA",Shopping,-19.31,Posted
2022-08-17,"Marriage and Family M","SQ *MARRIAGE AND FAMILY MWindsor      CO",Doctor,-200.00,Posted
2022-08-17,"King Soopers","KING SOOPERS #0104       WINDSOR      CO",Groceries,-18.63,Posted
2022-08-16,"Csu Parking Services Divi","CSU PARKING SERVICES DIVI970-4917041  CO",Parking,-135.00,Posted
2022-08-16,"Colorado State University","COLORADO STATE UNIVERSITY970-4916761  CO",Education,-60.00,Posted
2022-08-16,"Food at Thaistation","FOOD AT THAISTATION      9707972707   KS",Restaurants,-113.52,Posted
2022-08-16,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-210.13,Posted
2022-08-11,"Jiffy Lube","JIFFY LUBE #1383         FORT COLLINS CO",Service & Parts,-213.40,Posted
2022-08-11,"Booking.com","BOOKING.COM* 1DPGICK56   HTTPSWWW.BOOKCO",Hotel,-151.62,Posted
2022-08-10,"Amazon","AMZN Mktp US*RN59K8A53   Amzn.com/billWA",Shopping,-22.19,Posted
2022-08-09,"Amazon","Amazon.com*216QC9OP3     Amzn.com/billWA",Shopping,-35.15,Posted
2022-08-08,"Amazon","AMZN Mktp US*YM8W08PN3   Amzn.com/billWA",Shopping,-17.99,Posted
2022-08-08,"Amazon","AMZN Mktp US*C99JL8143   Amzn.com/billWA",Shopping,-44.70,Posted
2022-08-05,"United","UNITED      0162428025661800-932-2732 TX",Air Travel,-224.20,Posted
2022-08-04,"Amazon","AMZN Mktp US*0983J2FD3   Amzn.com/billWA",Shopping,-23.56,Posted
2022-08-04,"Amazon","AMZN MKTP US*DX1AS1QV3 AMAMZN.COM/BILLWA",Shopping,-9.52,Posted
2022-08-04,"Amazon","AMZN MKTP US*FF9PB5N63 AMAMZN.COM/BILLWA",Shopping,-30.25,Posted
2022-08-04,"Amazon","AMZN MKTP US*4C79P81D3 AMAMZN.COM/BILLWA",Shopping,-127.01,Posted
2022-08-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-14.97,Posted
2022-08-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-73.12,Posted
2022-07-25,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,141.00,Posted
2022-07-22,"Soc for Neuroscience","SOC FOR NEUROSCIENCE MTG 202-962-4000 DC",Gifts & Donations,-240.00,Posted
2022-07-21,"Sittercity","SITTERCITY               888-748-2489 IL",Babysitter & Daycare,-39.00,Posted
2022-07-18,"Amazon","AMZN Mktp US*2X2Q63JM3   Amzn.com/billWA",Shopping,-12.97,Posted
2022-07-07,"Marriage and Family","SQ *MARRIAGE AND FAMILY MWindsor      CO",Doctor,-75.00,Posted
2022-07-01,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-10.41,Posted
2022-07-01,"Interest on Purchases","Interest on Purchases",Finance Charge,-63.01,Posted
2022-06-21,"Sittercity","SITTERCITY               888-748-2489 IL",Babysitter & Daycare,-39.00,Posted
2022-06-21,"Tapthru.com","TAPTHRU.COM/BILL         913-808-3520 KS",Restaurants,-20.82,Posted
2022-06-20,"Amazon","AMZN Mktp US*5H72V2US3   Amzn.com/billWA",Shopping,-117.90,Posted
2022-06-18,"USAA Account Funding","USAA ACCT FUND           800-832-3724 TX",Transfer,-500.00,Posted
2022-06-14,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,39.00,Posted
2022-06-11,"USAA Account Funding","USAA ACCT FUND           800-832-3724 TX",Transfer,-200.00,Posted
2022-06-10,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-22.41,Posted
2022-06-10,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-83.20,Posted
2022-06-10,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-432.47,Posted
2022-06-10,"Conoco","CONOCO - 74 XPRESS       SEVERANCE    CO",Gas,-9.18,Posted
2022-06-10,"Conoco","CONOCO - 74 XPRESS       SEVERANCE    CO",Gas,-80.43,Posted
2022-06-09,"Marriage and Family","SQ *MARRIAGE AND FAMILY MWindsor      CO",Doctor,-175.00,Posted
2022-06-08,"Murphy USA","MURPHY7494ATWALMART      TIMNATH      CO",Gas,-41.41,Posted
2022-06-06,"Four Seasons Veterinar","FOUR SEASONS VETERINAR   LOVELAND     CO",Veterinary,-178.15,Posted
2022-06-05,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-187.87,Posted
2022-06-05,"Barnes & Noble","BARNES & NOBLE #2611     FT COLLINS   CO",Books,-81.68,Posted
2022-06-05,"Nail Bar","NAIL BAR                 FORT COLLINS CO",Personal Care,-91.00,Posted
2022-06-03,"Eb Conference Ov","EB RSMJ CONFERENCE-OV    801-413-7200 CA",Business Services,-282.00,Posted
2022-06-03,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-193.43,Posted
2022-06-03,"Garden Valley Vet Hospital","GARDEN VALLEY VET HOSPIT WINDSOR      CO",Veterinary,-561.27,Posted
2022-06-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-5.59,Posted
2022-06-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-32.89,Posted
2022-05-20,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-94.06,Posted
2022-05-17,"King Soopers","KING SOOPERS #0018       FT. COLLINS  CO",Groceries,-191.60,Posted
2022-05-07,"Target","TARGET        00024034   FORT COLLINS CO",Shopping,-329.00,Posted
2022-05-07,"King Soopers Fuel","KING SOOPERS #0697 FUEL QFT COLLINS   CO",Gas,-36.61,Posted
2022-05-07,"Target","TARGET        00024034   FORT COLLINS CO",Shopping,-16.13,Posted
2022-05-06,"Target","TARGET        00000794   FORT COLLINS CO",Shopping,-139.77,Posted
2022-05-05,"USAA Overdraft","USAA FSB-OVERDRAFT       SAN ANTONIO  TX",Transfer,-100.00,Posted
2022-05-04,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-25.31,Posted
2022-05-03,"Lowe's","LOWES #02697*            FORT COLLINS CO",Home Improvement,-65.18,Posted
2022-05-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-4.38,Posted
2022-05-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-19.19,Posted
2022-05-01,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,15.00,Posted
2022-04-27,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-3.00,Posted
2022-04-23,"Dollar General","DOLLAR GENERAL #20448    SEVERANCE    CO",Shopping,-25.61,Posted
2022-04-21,"Conoco","CONOCO - SEI 34210       LONGMONT     CO",Gas,-40.00,Posted
2022-04-20,"Wendy's","WENDY'S - 8063           FIRESTONE    CO",Fast Food,-22.13,Posted
2022-04-19,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-240.83,Posted
2022-04-17,"Cold Stone Creamery","COLDSTONE #21442         BOULDER      CO",Fast Food,-29.35,Posted
2022-04-16,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-154.54,Posted
2022-04-16,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,15.00,Posted
2022-04-13,"Amazon","AMZN Mktp US             Amzn.com/billWA",Shopping,11.64,Posted
2022-04-07,"Amazon","AMZN Mktp US*1A7E72NV1   Amzn.com/billWA",Shopping,-499.05,Posted
2022-04-04,"Target","TARGET        00000794   FORT COLLINS CO",Shopping,-172.75,Posted
2022-04-04,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,100.00,Posted
2022-04-04,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-78.97,Posted
2022-04-01,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-4.41,Posted
2022-04-01,"Late Charge","** LATE CHARGE",Fees & Charges,-15.00,Posted
2022-04-01,"Interest on Purchases","Interest on Purchases",Finance Charge,-3.73,Posted
2022-03-31,"Amazon","AMZN Mktp US*1653321X2   Amzn.com/billWA",Shopping,-144.64,Posted
2022-03-25,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-201.64,Posted
2022-03-16,"Amazon","AMZN Mktp US*1Z81T09O0   Amzn.com/billWA",Shopping,-31.76,Posted
2022-03-16,"Amazon","AMAZON.COM*1Z1BU9W00 AMZNAMZN.COM/BILLWA",Shopping,-16.02,Posted
2022-03-16,"Amazon","AMZN Mktp US*1Z4U275U2   Amzn.com/billWA",Shopping,-39.29,Posted
2022-03-15,"Dollar General","DOLLAR GENERAL #20448    SEVERANCE    CO",Shopping,-12.82,Posted
2022-03-15,"Amazon","AMZN Mktp US*1Z6RM0P62   Amzn.com/billWA",Shopping,-21.17,Posted
2022-03-15,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-136.41,Posted
2022-03-14,"A&W","KFC/AW #430              WINDSOR      CO",Fast Food,-12.80,Posted
2022-03-14,"USAA Overdraft","USAA FSB-OVERDRAFT       SAN ANTONIO  TX",Transfer,-100.00,Posted
2022-03-14,"Amazon","AMZN Mktp US*1Z2KQ9Y21   Amzn.com/billWA",Shopping,-156.38,Posted
2022-03-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-3.76,Posted
2022-02-25,"Corrective Credit","CORRECTIVE CREDIT",Shopping,3.00,Posted
2022-02-18,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,15.00,Posted
2022-02-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-3.96,Posted
2022-01-31,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,15.00,Posted
2022-01-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-3.96,Posted
2021-12-09,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,15.00,Posted
2021-12-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-4.11,Posted
2021-11-12,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,15.00,Posted
2021-11-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-3.32,Posted
2021-10-26,"USAA Overdraft","USAA FSB-OVERDRAFT       SAN ANTONIO  TX",Transfer,-100.00,Posted
2021-10-01,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-3.00,Posted
2021-09-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-2.19,Posted
2021-09-02,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,103.95,Posted
2021-08-16,"USAA Overdraft","USAA FSB-OVERDRAFT       SAN ANTONIO  TX",Transfer,-400.00,Posted
2021-07-02,"Finance Charge","*FINANCE CHARGE* PREV CYC",Transfer,0.03,Posted
2021-07-02,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,2917.80,Posted
2021-07-02,"Finance Charge","*FINANCE CHARGE* PREV CYC",Transfer,39.45,Posted
2021-07-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-0.63,Posted
2021-07-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-39.45,Posted
2021-06-08,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,3500.00,Posted
2021-06-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-73.13,Posted
2021-06-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-1.16,Posted
2021-05-28,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,139.00,Posted
2021-05-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-73.28,Posted
2021-05-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-0.81,Posted
2021-04-16,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,137.00,Posted
2021-04-12,"USAA Overdraft","USAA FSB-OVERDRAFT       SAN ANTONIO  TX",Transfer,-100.00,Posted
