Date,Description,Original Description,Category,Amount,Status
2022-10-11,"Estescarparktownhalllot","ESTESCARPARKTOWNHALLLOT  ESTES PARK   CO",Parking,-4.00,Posted
2022-10-11,"Estescarparktownhalllot","ESTESCARPARKTOWNHALLLOT  ESTES PARK   CO",Parking,-4.00,Posted
2022-10-11,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol Bars,-3.17,Posted
2022-10-11,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-3.15,Posted
2022-10-11,"Csu Lake Street Market","CSU LAKE STREET MARKET   FORT COLLINS CO",Fast Food,-2.36,Posted
2022-10-07,"Walmart","Wal-Mart Super Center4599TIMNATH      CO",Shopping,-53.99,Posted
2022-10-07,"Loaf 'N Jug","LOAF N JUG # 081 1601 S CFORT COLLINS CO",Gas,-32.67,Posted
2022-10-07,"Transfer to Apple Pay","APPLE CASH               1INFINITELOOPCA",Transfer,-10.00,Posted
2022-10-07,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-4.26,Posted
2022-10-06,"Safeway Fuel","SAFEWAY FUEL2666         GREELEY      CO",Gas,-50.75,Posted
2022-10-06,"Hearth","HEARTH                   WINDSOR      CO",Restaurants,-27.44,Posted
2022-10-06,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-11.12,Posted
2022-10-06,"Apple","APPLE.COM/BILL           800-275-2273 CA",Entertainment,-10.37,Posted
2022-10-06,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-9.00,Posted
2022-10-06,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-3.17,Posted
2022-10-05,"Mr. Cooper","Nationstar dba   Mr Cooper  ***********8302",Mortgage Payment,-1879.35,Posted
2022-10-05,"Starbucks","STARBUCKS 800-782-7282   800-782-7282 WA",Coffee Shops,-30.00,Posted
2022-10-05,"Taco Bell","TACO BELL 033859         GREELEY      CO",Fast Food,-13.00,Posted
2022-10-05,"Freddy's Frozen Custard & Steakburgers","FREDDY'S 16-0008         WINDSOR      CO",Fast Food,-11.95,Posted
2022-10-05,"Shell","SHELL OIL 57445013808    JOHNSTOWN    CO",Gas,-11.54,Posted
2022-10-05,"Spotify","SPOTIFY                  877-778-1161 NY",Music,-10.67,Posted
2022-10-05,"Safeway","SAFEWAY #2666            GREELEY      CO",Groceries,-6.56,Posted
2022-10-05,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-5.00,Posted
2022-10-05,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-4.99,Posted
2022-10-05,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-05,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-05,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.26,Posted
2022-10-04,"Credit One Bank","Credit One Bank  Payment    ***********8988",Transfer,-42.00,Posted
2022-10-04,"King Soopers","KING SOOP 6918 10TH ST   GREELEY      CO",Groceries,-177.50,Posted
2022-10-04,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-19.03,Posted
2022-10-04,"Shell","SHELL SERVICE STATION    JOHNSTOWN    CO",Gas,-14.65,Posted
2022-10-04,"King Soopers","KING SOOP 6918 W 10TH    GREELEY      CO",Groceries,-12.00,Posted
2022-10-04,"Amazon","AMZN Mktp US*1497V7QR1   AMZN.COM/BILLWA",Shopping,-9.79,Posted
2022-10-04,"Hulu","HLU*Hulu 280249445888-U  HULU.COM/BILLCA",Television,-7.52,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-6.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.06,Posted
2022-10-03,"AT&T","ATT              Payment    ***********PAYS",Utilities,-241.05,Posted
2022-10-03,"Capital One Credit Card","CAPITAL ONE      MOBILE PMT ***********Y4JU",Credit Card Payment,-200.00,Posted
2022-10-03,"Capital One Credit Card","CAPITAL ONE      MOBILE PMT ***********PHBD",Credit Card Payment,-100.00,Posted
2022-10-03,"Walmart","WM SUPERCENTER #4599Wal-MTIMNATH      CO",Shopping,-64.29,Posted
2022-10-03,"Pet Supplies Plus","Pet Supplies Plus 4063   FT. COLLINS  CO",Pet Food & Supplies,-63.89,Posted
2022-10-03,"Bruces Tavern","BRUCES TAVERN            SEVERANCE    CO",Alcohol & Bars,-61.09,Posted
2022-10-03,"Safeway","SAFEWAY #1552            FORT COLLINS CO",Groceries,-58.06,Posted
2022-10-03,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-32.76,Posted
2022-10-03,"SiriusXM","SXM*SIRIUSXM.COM/ACCT    888-635-5144 NY",Music,-29.82,Posted
2022-10-03,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-28.31,Posted
2022-10-03,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-27.48,Posted
2022-10-03,"DoorDash","DD DOORDASH THAISTATI    855-973-1040 CA",Food & Dining,-27.10,Posted
2022-10-03,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-21.54,Posted
2022-10-03,"Livwell","LIVWELL - GARDEN CITY    GARDEN CITY  CO",Shopping,-21.49,Posted
2022-10-03,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-19.06,Posted
2022-10-03,"Kum & Go","KUM&GO 0949 WINDSOR      WINDSOR      CO",Gas,-15.79,Posted
2022-10-03,"Starbucks","STARBUCKS STORE 06906    GREELEY      CO",Coffee Shops,-14.40,Posted
2022-10-03,"Smoothie King","SMOOTHIE KING - 1886     FORT COLLINS CO",Fast Food,-11.94,Posted
2022-10-03,"Chick-fil-A","CHICK-FIL-A #03676       TIMNATH      CO",Fast Food,-7.15,Posted
2022-10-03,"Docker Inv Ac a Dockca","DOCKER:INV-AC66A887-5B   HTTPSWWW.DOCKCA",Internet,-7.00,Posted
2022-10-03,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-5.99,Posted
2022-10-03,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-5.44,Posted
2022-10-03,"Burger King","BURGER KING #9283        GREELEY      CO",Fast Food,-4.26,Posted
2022-10-03,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-03,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-2.90,Posted
2022-09-30,"Amazon Store Card","AMZ_STORECRD_PMT PAYMENT    ***********0540",Credit Card Payment,-114.79,Posted
2022-09-30,"Zelle Transfer to Montessori Academy","Zelle: Montessori Academy",Transfer,-1000.00,Posted
2022-09-30,"Hearth","HEARTH                   WINDSOR      CO",Restaurants,-50.22,Posted
2022-09-30,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-40.00,Posted
2022-09-30,"Walmart","WM SUPERCENTER #4599Wal-MTIMNATH      CO",Shopping,-40.00,Posted
2022-09-30,"Cheek Boss","PAYPAL *CHEEK BOSS       402-935-7733 NV",Clothing,-21.17,Posted
2022-09-30,"Modern Market","MODERN MARKET - 034      FORT COLLINS CO",Restaurants,-18.95,Posted
2022-09-30,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-17.63,Posted
2022-09-30,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-15.62,Posted
2022-09-30,"Spotify","SPOTIFY                  877-778-1161 NY",Music,-10.58,Posted
2022-09-30,"Walmart","Wal-Mart Super Center4599TIMNATH      CO",Shopping,-7.29,Posted
2022-09-30,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-6.26,Posted
2022-09-30,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-3.71,Posted
2022-09-30,"Csu Sweet Temptations","CSU SWEET TEMPTATIONS    FORT COLLINS CO",Fast Food,-3.65,Posted
2022-09-30,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-30,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-30,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-30,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-3.17,Posted
2022-09-30,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.26,Posted
2022-09-29,"USAA Loan Payment","USAA LOAN PAYMENT",Transfer,-234.72,Posted
2022-09-29,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-204.00,Posted
2022-09-29,"BJ's Restaurant","BJ'S RESTAURANTS 539     FORT COLLINS CO",Restaurants,-73.66,Posted
2022-09-29,"Loaf 'N Jug","LOAF N JUG # 081 1601 S CFORT COLLINS CO",Gas,-49.48,Posted
2022-09-29,"Banner Clinic","BANNER CLINIC 6363100028 FORT COLLINS CO",Doctor,-30.00,Posted
2022-09-29,"Murphy USA","MURPHY7494ATWAL          TIMNATH      CO",Gas,-26.71,Posted
2022-09-29,"Ciao! Mobile Pizzeriajohnstown","SQ *CIAO! MOBILE PIZZERIAJOHNSTOWN    CO",Food & Dining,-16.78,Posted
2022-09-29,"Murphy USA","MURPHY7494ATWAL          TIMNATH      CO",Gas,-5.19,Posted
2022-09-29,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-29,"Redbock Direct Deposit","REDBOCK          DIRECT DEP ***********4Q8J",Paycheck,3851.31,Posted
2022-09-29,"Colorado State U Payroll","COLORADO STATE U Payroll    ***********41-8",Paycheck,1661.11,Posted
2022-09-28,"Wendy's","WENDY'S #11966           TIMNATH      CO",Fast Food,-11.10,Posted
2022-09-28,"Loaf 'N Jug","LOAF N JUG # 08121601 S CFORT COLLINS CO",Gas,-5.14,Posted
2022-09-28,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-28,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-28,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-1.96,Posted
2022-09-27,"Walmart","Wal-Mart Super Center    TIMNATH      CO",Shopping,-32.93,Posted
2022-09-27,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-15.51,Posted
2022-09-27,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-11.64,Posted
2022-09-27,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-6.50,Posted
2022-09-27,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-5.36,Posted
2022-09-27,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-4.99,Posted
2022-09-27,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-27,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-27,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.86,Posted
2022-09-26,"Walmart","WM SUPERCENTER #4599Wal-MTIMNATH      CO",Shopping,-150.51,Posted
2022-09-26,"Hearth","HEARTH                   WINDSOR      CO",Restaurants,-62.36,Posted
2022-09-26,"Murphy USA","MURPHY7494ATWAL          TIMNATH      CO",Gas,-49.56,Posted
2022-09-26,"Breeze Thru Carwash Clu","Breeze Thru Carwash Clu  970-6325103  CO",Service & Parts,-15.00,Posted
2022-09-26,"Burger King","BURGER KING #9283        GREELEY      CO",Fast Food,-10.78,Posted
2022-09-26,"Smoothie King","SMOOTHIE KING - 1886     FORT COLLINS CO",Fast Food,-10.54,Posted
2022-09-26,"Howling Cow Cafe","HOWLING COW CAFE         BELLVUE      CO",Food & Dining,-9.49,Posted
2022-09-26,"Taco Bell","TACO BELL 036116         TIMNATH      CO",Fast Food,-9.25,Posted
2022-09-26,"Howling Cow Cafe","HOWLING COW CAFE         BELLVUE      CO",Food & Dining,-7.20,Posted
2022-09-26,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-6.33,Posted
2022-09-26,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-26,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-26,"Walmart","WM SUPERC Wal-Mart Sup   TIMNATH      CO",Shopping,-2.56,Posted
2022-09-23,"Colorado Kolache Compft Collins Co","SQ *COLORADO KOLACHE COMPFT COLLINS   CO",Groceries,-14.52,Posted
2022-09-23,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-7.26,Posted
2022-09-23,"Kum & Go","KUM&GO 0949 WINDSOR      WINDSOR      CO",Gas,-5.90,Posted
2022-09-23,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-23,"Zelle Transfer from Nancy T Drennan","Zelle: Nancy T Drennan",Income,160.00,Posted
2022-09-23,"Colorado State U Ap","Colorado State U AP         ***********0941",Paycheck,148.59,Posted
2022-09-22,"Walmart","WM SUPERCENTER #4599Wal-MTIMNATH      CO",Shopping,-51.59,Posted
2022-09-22,"Jack in the Box","JACK IN THE BOX 8164     GREELEY      CO",Fast Food,-36.07,Posted
2022-09-22,"Walmart","Wal-Mart Super Center    TIMNATH      CO",Shopping,-17.46,Posted
2022-09-22,"Berry Blendz","BERRY BLENDZ             GREELEY      CO",Fast Food,-9.56,Posted
2022-09-22,"Murphy USA","MURPHY7494ATWAL          TIMNATH      CO",Gas,-4.00,Posted
2022-09-22,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-09-22,"Craigslist","CRAIGSLIST.ORG           415-399-5200 CA",Advertising,-3.00,Posted
2022-09-21,"Merrick Bank Transfer","MERRICK BANK COR MOBILE PAY ***********1788",Transfer,-41.00,Posted
2022-09-21,"Credit One Bank","Credit One Bank  Payment    ***********9126",Transfer,-30.00,Posted
2022-09-21,"Walmart","WM SUPERCENTER #5051Wal-MGREELEY      CO",Shopping,-81.28,Posted
2022-09-21,"7-Eleven","SEI 343166150 E HWY 34   JOHNSTOWN    CO",Gas,-34.93,Posted
2022-09-21,"7-Eleven","SEI 34316                JOHNSTOWN    CO",Gas,-6.68,Posted
2022-09-20,"Lumen","LumenCenturyLink SPEEDPAY   ***********CHEY",Bills Utilities,-65.59,Posted
2022-09-20,"Xcel Energy","XCEL ENERGY-PSCO XCELENERGY ***********6208",Utilities,-32.92,Posted
2022-09-20,"7-Eleven","SEI 390754695 20TH ST    GREELEY      CO",Gas,-22.37,Posted
2022-09-20,"Berry Blendz","BERRY BLENDZ             GREELEY      CO",Fast Food,-13.00,Posted
2022-09-20,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.35,Posted
2022-09-20,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.35,Posted
2022-09-19,"Zelle Transfer to Montessori Academy","Zelle: Montessori Academy",Transfer,-1000.00,Posted
2022-09-19,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-260.00,Posted
2022-09-19,"USAA Loan Payment","USAA LOAN PAYMENT",Transfer,-234.72,Posted
2022-09-19,"King Soopers","KING SOOP 1520 MAIN ST   WINDSOR      CO",Groceries,-143.76,Posted
2022-09-19,"The Honest Company","THE HONEST COMPANY, INC. 310-917-9199 CA",Baby Supplies,-85.40,Posted
2022-09-19,"Starbucks","STARBUCKS 800-782-7282   800-782-7282 WA",Coffee Shops,-15.00,Posted
2022-09-19,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-13.32,Posted
2022-09-19,"Burger King","BURGER KING #25525       WINDSOR      CO",Fast Food,-12.57,Posted
2022-09-19,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-10.30,Posted
2022-09-19,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-9.33,Posted
2022-09-19,"Disney+","Disney Plus              BURBANK      CA",Television,-8.60,Posted
2022-09-19,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-7.83,Posted
2022-09-19,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-6.33,Posted
2022-09-19,"The Human Bean","TST* THE HUMAN BEAN - WINWINDSOR      CO",Coffee Shops,-6.25,Posted
2022-09-19,"Google Drive","GOOGLE *Google Storage   855-836-3987 CA",Electronics & Software,-1.99,Posted
2022-09-16,"Vecinos Mexican Grill","VECINOS MEXICAN GRILL    SEVERANCE    CO",Restaurants,-28.91,Posted
2022-09-16,"Csu Sweet Temptations","CSU SWEET TEMPTATIONS    FORT COLLINS CO",Fast Food,-15.84,Posted
2022-09-16,"Breeze Thru S College","Breeze Thru S College    FORT COLLINS CO",Service Parts,-15.00,Posted
2022-09-16,"Wendy's","WENDY'S #11966           TIMNATH      CO",Fast Food,-12.23,Posted
2022-09-16,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.35,Posted
2022-09-16,"Coca Cola","COCA COLA JOHNSTOWN CO   JOHNSTOWN    CO",Food Dining,-2.00,Posted
2022-09-16,"USA Technologies Vending","SNACK SODA VENDING       FT. COLLINS  CO",Fast Food,-1.60,Posted
2022-09-16,"USA Technologies Vending","SNACK SODA VENDING       FT. COLLINS  CO",Fast Food,-1.60,Posted
2022-09-16,"Zelle Transfer from Nancy T Drennan","Zelle: Nancy T Drennan",Income,160.00,Posted
2022-09-15,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2022-09-15,"Walmart","WAL-MART #45994500 WEITZETIMNATH      CO",Shopping,-169.95,Posted
2022-09-15,"Walmart","WAL-MART #45994500 WEITZETIMNATH      CO",Shopping,-145.32,Posted
2022-09-15,"Netflix","Netflix.com              NETFLIX.COM  CA",Television,-19.99,Posted
2022-09-15,"Bruces Tavern","BRUCES TAVERN            SEVERANCE    CO",Alcohol & Bars,-19.00,Posted
2022-09-15,"Transfer to Apple Pay","APPLE CASH               1INFINITELOOPCA",Transfer,-15.00,Posted
2022-09-15,"Google Drive","GOOGLE *Google Storage   G.CO/HELPPAY#CA",Electronics & Software,-9.99,Posted
2022-09-15,"Taco Bell","TACO BELL 033859         GREELEY      CO",Fast Food,-7.91,Posted
2022-09-15,"Redbock Direct Deposit","REDBOCK          DIRECT DEP ***********3Q8J",Paycheck,2841.86,Posted
2022-09-14,"Synchrony Credit Card","SYNCHRONY BANK   PAYMENT    ***********5410",Credit Card Payment,-56.00,Posted
2022-09-14,"Adobe","PP*ADOBE INC             402-935-7733 CA",Electronics & Software,-29.99,Posted
2022-09-14,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-15.99,Posted
2022-09-14,"USAA Rewards","USAA REWARDS CREDIT",Transfer,89.00,Posted
2022-09-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-50.00,Posted
2022-09-13,"Brew Pub","G5 BREW PUB              SEVERANCE    CO",Alcohol & Bars,-32.62,Posted
2022-09-13,"Taco Bell","TACO BELL 033859         GREELEY      CO",Fast Food,-15.92,Posted
2022-09-13,"Hackmd Io Httpshackmd Ide","HACKMD.IO                HTTPSHACKMD.IDE",Electronics & Software,-4.00,Posted
2022-09-13,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.35,Posted
2022-09-13,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.35,Posted
2022-09-13,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.35,Posted
2022-09-13,"USAA Credit Card Cash Advance","CC ADVANCE - USAA.COM",Transfer,200.00,Posted
2022-09-12,"Steam","PAYPAL           INST XFER  ***********AMES",Entertainment,-11.99,Posted
2022-09-12,"Windsor Co","ROMARESTAURANT_7         WINDSOR      CO",Restaurants,-94.02,Posted
2022-09-12,"Sally Beauty","SALLY BEAUTY #38 2842 COUFORT COLLINS CO",Personal Care,-51.05,Posted
2022-09-12,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-33.84,Posted
2022-09-12,"Target","TARGET T- 2936 Council   FORT COLLINS CO",Shopping,-29.98,Posted
2022-09-12,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-19.37,Posted
2022-09-12,"Panera Bread","PANERA BREAD #202442 K   FT. COLLINS  CO",Fast Food,-11.90,Posted
2022-09-12,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-7.99,Posted
2022-09-12,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-7.26,Posted
2022-09-12,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.15,Posted
2022-09-12,"Burger King","BURGER KING #25525       WINDSOR      CO",Fast Food,-2.53,Posted
2022-09-09,"The Economist","THE ECONOMIST            442-075-7685 NY",Shopping,-81.30,Posted
2022-09-09,"Starbucks","STARBUCKS 800-782-7282   800-782-7282 WA",Coffee Shops,-15.00,Posted
2022-09-09,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-13.81,Posted
2022-09-09,"Jack in the Box","JACK IN THE BOX 8164     GREELEY      CO",Fast Food,-13.45,Posted
2022-09-09,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.35,Posted
2022-09-09,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.35,Posted
2022-09-09,"Zelle Transfer from Nancy T Drennan","Zelle: Nancy T Drennan",Income,160.00,Posted
2022-09-08,"King Soopers","KING SOOP 6918 10TH ST   GREELEY      CO",Groceries,-173.50,Posted
2022-09-08,"Loaf 'N Jug","LOAF N JUG # 08121601 S CFORT COLLINS CO",Gas,-32.99,Posted
2022-09-08,"Big D","BIG D #51                GREELEY      CO",Groceries,-31.81,Posted
2022-09-08,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-13.38,Posted
2022-09-08,"Smoothie King","SMOOTHIE KING - 1886     FORT COLLINS CO",Fast Food,-11.94,Posted
2022-09-08,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-9.99,Posted
2022-09-08,"Xpress","74 XPRESS                SEVERANCE    CO",Gas,-8.18,Posted
2022-09-08,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-5.37,Posted
2022-09-08,"Big D","BIG D #511000 35TH AVE   GREELEY      CO",Groceries,-2.34,Posted
2022-09-07,"Steam","PAYPAL           INST XFER  ***********AMES",Entertainment,-39.99,Posted
2022-09-07,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-23.70,Posted
2022-09-07,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-11.07,Posted
2022-09-07,"Xpress","74 XPRESS                SEVERANCE    CO",Gas,-6.12,Posted
2022-09-07,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.35,Posted
2022-09-07,"Csu Lake Street Market","CSU LAKE STREET MARKET   FORT COLLINS CO",Fast Food,-3.11,Posted
2022-09-06,"Mr. Cooper","Nationstar dba   Mr Cooper  ***********8302",Mortgage Payment,-1879.35,Posted
2022-09-06,"PayPal Purchase","PAYPAL           INST XFER  ***********4013",Uncategorized,-40.00,Posted
2022-09-06,"Genesis Credit Card","GENESIS FS CARD SERVICES 503-350-4300 OR",Credit Card Payment,-100.00,Posted
2022-09-06,"Amazon","Amazon.com*1V3GU7P90     AMZN.COM/BILLWA",Shopping,-95.57,Posted
2022-09-06,"Grammys Stitchin","SQ *GRAMMYS STITCHIN     WINDSOR      CO",Entertainment,-70.00,Posted
2022-09-06,"First Watch","FIRST WATCH - 0422       FORT COLLINS CO",Restaurants,-67.12,Posted
2022-09-06,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-50.00,Posted
2022-09-06,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-50.00,Posted
2022-09-06,"BJ's Restaurant","BJ'S RESTAURANTS 539     FORT COLLINS CO",Restaurants,-35.65,Posted
2022-09-06,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-32.61,Posted
2022-09-06,"Sonic","SONIC DRIVE IN #5809     GREELEY      CO",Fast Food,-30.28,Posted
2022-09-06,"Backyard Bird Chickentimnath","SQ *BACKYARD BIRD CHICKENTIMNATH      CO",Food & Dining,-29.45,Posted
2022-09-06,"Freddy's Frozen Custard & Steakburgers","FREDDY'S 16-0008         WINDSOR      CO",Fast Food,-25.59,Posted
2022-09-06,"Dollar General","DOLLAR GENERAL #DG 204489SEVERANCE    CO",Shopping,-24.54,Posted
2022-09-06,"Oompah Tacos","SQ *OOMPAH TACOS         WINDSOR      CO",Fast Food,-22.53,Posted
2022-09-06,"King Soopers","KING SOOP 2100 35TH ST   GREELEY      CO",Groceries,-22.10,Posted
2022-09-06,"Sunburst Enterp","SQ *SUNBURST ENTERP      WINDSOR      CO",Fast Food,-21.85,Posted
2022-09-06,"Andrew Kassatly","SQ *ANDREW KASSATLY      WINDSOR      CO",Business Services,-21.00,Posted
